ADD_NUM,LF_NAME,ADDRESS,POSTAL_CD,CITY,X,Y,LONGITUDE,LATITUDE,FAC_NAM,STE_FLR_UN,PERFRMANCE,EXHBVISART,SCRN_BASSE,LIBRARY,MULTIPURP,HERITAGE,OWNERSHIP,OBJECTID
3465,Dundas St W,3465 Dundas St W,M6S 2S5,Toronto,305795.5850,4835942.5510,-79.48746099840,43.66543374150,Club Hispano,,1,1,0,0,0,0,Owned by others,191
181,Glenlake Ave,181 Glenlake Ave,M6P 4B6,Toronto,307834.8500,4835127.6840,-79.46218059350,43.65809343990,Keele Community Centre,,0,0,0,0,1,0,City Owned,194
288,Humberside Ave,288 Humberside Ave,M6P 1L5,Toronto,307268.8470,4835411.3160,-79.46919623080,43.66064870520,St. Johns West Toronto Anglican Church,,1,0,0,0,1,0,Owned by others,195
238,Jane St,238 Jane St,M6S 3Z1,Toronto,305831.0380,4834780.3880,-79.48702086200,43.65496387500,Art Works Art School,,0,1,0,0,0,0,Owned by others,196
95,Lavinia Ave,95 Lavinia Ave,M6S 3H9,Toronto,306568.7330,4833967.9830,-79.47788169970,43.64765836510,Swansea Memorial Library,,0,0,0,1,0,0,City Owned,199
4066,Old Dundas St,4066 Old Dundas St,M6S 2R6,Toronto,304493.0230,4835688.8120,-79.50361134030,43.66314997250,Lambton House,,0,1,1,0,1,1,City Owned,200
396,Pacific Ave,396 Pacific Ave,M6P 2R1,Toronto,307304.3970,4835926.8220,-79.46875280210,43.66528884720,The Junction Business Improvement Area (BIA),Suite 205,1,0,0,0,0,0,Owned by others,201
280,Quebec Ave,280 Quebec Ave,M6P 2V3,Toronto,307151.9450,4835333.8030,-79.47064606390,43.65995129260,Humberside Collegiate Institute (Lismer Hall),,1,1,1,0,1,0,Owned by others,202
15,Waller Ave,15 Waller Ave,M6S 4Z9,Toronto,306630.3800,4833574.0200,-79.47711880300,43.64411206310,Swansea Community Recreation Centre,,1,0,0,0,1,0,City Owned,204
207,Windermere Ave,207 Windermere Ave,M6S 3J9,Toronto,306632.8490,4833502.2450,-79.47708830430,43.64346596320,Swansea Public School,,1,1,1,0,1,0,Owned by others,205
4,Morningside Ave,4 Morningside Ave,M6S 1C2,Toronto,306959.6700,4833823.5890,-79.47303632160,43.64635764690,Morningside - High Park Presbyterian Church,,1,0,0,0,1,0,Owned by others,208
2232,Bloor St W,2232 Bloor St W,M6S 1N6,Toronto,306652.2330,4834370.5570,-79.47684545770,43.65128187310,Bread and Roses Bakery CafÚ,,0,1,0,0,0,0,Owned by others,212
365,Jane St,365 Jane St,M6S 3Z3,Toronto,305793.1290,4835077.5900,-79.48749338390,43.65764777000,Coco Organic Chocolate,,0,1,0,0,0,0,Owned by others,214
151,Annette St,151 Annette St,M6P 1P3,Toronto,307472.5880,4835699.3410,-79.46666858280,43.66324060980,Victoria Lodge #474,,0,0,0,0,1,0,Owned by others,215
2960,Dundas St W,2960 Dundas St W,M6P 1Y8,Toronto,307359.9740,4835968.5840,-79.46806347530,43.66566456960,The Train Platform (Dundas West),,0,0,0,0,1,0,Owned by others,216
14,St Mark's Rd,14 St Mark's Rd,M6S 2H7,Toronto,305505.5110,4835390.1070,-79.49105864360,43.66046122620,Humbercrest School,,0,0,0,0,1,0,Owned by others,218
1515,Bloor St W,1515 Bloor St W,M6P 1A3,Toronto,308671.4050,4834880.6990,-79.45181096690,43.65586641360,Bishop Marrocco/Thomas Merton Catholic Secondary School,,1,0,0,0,1,0,Owned by others,224
1573,Bloor St W,1573 Bloor St W,M6P 1A6,Toronto,308482.5990,4834870.2670,-79.45415183380,43.65577340030,Lithuanian Community House,,1,0,0,0,1,0,Owned by others,226
77,Brock Ave,77 Brock Ave,M6K 2L3,Toronto,310180.5730,4833571.8840,-79.43311388170,43.64407660470,The Japanese Paper Place,,0,1,0,0,0,0,Owned by others,229
186,Cowan Ave,186 Cowan Ave,M6K 2N6,Toronto,310209.5160,4833091.6070,-79.43275984560,43.63975325600,St. John's National Polish Catholic Cathedral,,0,0,0,0,1,0,Owned by others,230
376,Dufferin St,376 Dufferin St,M6K 1Z8,Toronto,310544.0940,4833302.0560,-79.42861077120,43.64164523170,Unit 102 Theatre,,1,0,0,0,0,0,Owned by others,234
2261,Dundas St W,2261 Dundas St W,M6R 1X6,Toronto,308628.2320,4834749.3640,-79.45234709500,43.65468440770,Hugh's Room,,1,0,0,0,0,0,Owned by others,237
2340,Dundas St W,2340 Dundas St W,M6P 4A9,Toronto,308634.1180,4834975.9350,-79.45227259160,43.65672385510,Trebas Institute,,0,0,1,0,0,0,Owned by others,238
