PX,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,Latitude,Longitude,Count Date,8HrVehVol,8HrPedVol
8,JARVIS ST,,DUNDAS ST E,,21-Jun-1928,43.657052,-79.374531,4/13/2015,18207,7458
15,CHURCH ST,,FRONT ST E,WELLINGTON ST E,24-Apr-1950,43.64851318,-79.37383354,4/20/2015,10467,7381
21,DUNDAS ST E,,CHURCH ST,,17-Dec-1952,43.656499,-79.377127,4/13/2015,13764,10302
31,YONGE ST,,KING ST,,03-Nov-1927,43.6491624,-79.377904,1/22/2015,13527,33938
36,YONGE ST,,DUNDAS ST,,04-Apr-1927,43.656326,-79.380912,4/11/2015,10925,34615
66,DUNDAS ST W,,BAY ST,,28-Jun-1928,43.655721,-79.383734,4/13/2015,16598,31918
71,YORK ST,,WELLINGTON ST W,,22-Jun-1928,43.6466383,-79.383007,4/18/2015,6498,6101
75,UNIVERSITY AVE,,YORK ST,FRONT ST W,14-Jun-1928,43.645291,-79.382476,4/20/2015,15386,19707
76,UNIVERSITY AVE,,WELLINGTON ST W,,17-Feb-1932,43.6464054,-79.384076,4/20/2015,18390,18152
77,UNIVERSITY AVE,,KING ST W,,15-Feb-1932,43.6476553,-79.384788,1/22/2015,19291,17345
81,UNIVERSITY AVE,,DUNDAS ST W,,28-Jun-1928,43.654812,-79.388484,4/11/2015,21879,12603
100,BATHURST ST,,EGLINTON AVE W,,01-Jan-1967,43.7009757,-79.425534,4/11/2015,20547,2504
134,MOUNT PLEASANT RD,,ST CLAIR AVE E,,23-May-1950,43.690374,-79.383288,6/1/2015,24433,582
156,KINGSTON RD,,WARDEN AVE,,31-Jan-1958,43.6877698,-79.270928,5/6/2015,12693,977
162,KINGSTON RD,,WOODBINE AVE,,09-Jun-1929,43.67394,-79.307902,4/25/2015,22781,1002
163,KINGSTON RD,,DUNDAS ST E,DIXON AVE,03-Mar-1953,43.669951,-79.311169,4/11/2015,8523,823
180,DUNDAS ST W,,OSSINGTON AVE,,09-Apr-1929,43.6493419,-79.42078,4/11/2015,11860,7315
181,DUNDAS ST W,,LANSDOWNE AVE,,14-Oct-1948,43.6501405,-79.439714,4/11/2015,13572,2756
183,DUNDAS ST W,,BROCK AVE,,17-Dec-1952,43.6498834,-79.435598,4/8/2015,10205,2094
185,JANE ST,,DUNDAS ST W,,31-Jan-1958,43.665693,-79.491175,4/18/2015,24731,1240
186,DUNDAS ST W,,RUNNYMEDE RD,,22-Oct-1948,43.665584,-79.482104,4/18/2015,17291,1249
188,DUNDAS ST W,,KEELE ST,,07-Apr-1928,43.6653881,-79.464561,4/18/2015,18937,4698
190,DUFFERIN ST,,DUNDAS ST W,,17-Nov-1948,43.6496233,-79.431438,4/11/2015,14442,5244
196,DUNDAS ST W,,BATHURST ST,,27-Aug-1953,43.652296,-79.406015,4/11/2015,15414,10194
198,SIMCOE ST,,ADELAIDE ST W,,13-May-1960,43.6486354,-79.386558,8/31/2015,7279,6248
201,KING ST W,,BATHURST ST,,15-Jun-1928,43.643904,-79.40267,4/11/2015,15742,9020
219,CHAPLIN CRES,,ROSELAWN AVE,,01-Jan-1967,43.7056982,-79.423936,6/8/2015,8121,751
248,DUNDAS ST E,,PARLIAMENT ST,,07-Apr-1939,43.6594438,-79.365987,4/18/2015,11666,6698
258,DUNDAS ST E,,SHERBOURNE ST,,21-Dec-1927,43.6583038,-79.371,4/13/2015,11697,5541
263,FRONT ST W,,SIMCOE ST,LOWER SIMCOE ST,13-May-1960,43.6447547,-79.384981,6/16/2015,11290,31351
265,DUNDAS ST W,,MC CAUL ST,,12-Feb-1952,43.654313,-79.391437,4/13/2015,10100,11071
268,RICHMOND ST W,,PETER ST,,14-Dec-1965,43.6484258,-79.393259,8/18/2015,9004,7477
270,ADELAIDE ST W,,PETER ST,,11-Dec-1963,43.6473011,-79.392799,8/18/2015,10387,9463
273,SPADINA AVE,,KING ST W,,14-Jun-1928,43.6454505,-79.395002,1/22/2015,18148,19438
277,SPADINA AVE,,DUNDAS ST W,,09-Sep-1929,43.6529371,-79.398015,4/11/2015,11107,26960
283,DUNDAS ST E,,COXWELL AVE,,28-Aug-1953,43.6686596,-79.3175222,4/13/2015,11544,1007
284,DUNDAS ST E,,WOODFIELD RD,,30-May-1955,43.6678271,-79.322316,4/2/2015,8142,834
285,DUNDAS ST E,,GREENWOOD AVE,,22-Jun-1954,43.6675767,-79.326601,4/13/2015,11219,1168
287,DUNDAS ST E,,JONES AVE,,23-Aug-1954,43.6661633,-79.334282,4/2/2015,12020,1377
288,DUNDAS ST E,,PAPE AVE,,30-May-1955,43.665391,-79.339234,4/2/2015,10320,1072
289,DUNDAS ST E,,CARLAW AVE,,17-Jan-1955,43.6648245,-79.341597,4/13/2015,13161,1241
290,DUNDAS ST E,,LOGAN AVE,,26-Oct-1955,43.663931,-79.343869,4/7/2015,9975,821
291,DUNDAS ST E,,BOULTON AVE,,26-Aug-1958,43.6631849,-79.348202,4/2/2015,9276,1155
292,BROADVIEW AVE,,DUNDAS ST E,,14-Oct-1948,43.6624456,-79.351357,4/13/2015,11422,2259
293,DUNDAS ST E,,RIVER ST,,13-Mar-1953,43.6611902,-79.358131,4/13/2015,14073,1407
294,DANFORTH AVE,,BROADVIEW AVE,,16-Jul-1928,43.6761964,-79.358828,4/25/2015,20973,10278
296,BATHURST ST,,QUEEN ST W,,15-Jun-1928,43.6471973,-79.403991,4/11/2015,14741,19595
